Audience Segment,Audience1,Audience2,Audience3,Audience4,Audience5,Audience6,Audience7,Creative Size,Creative Messaging,Location,City,State,URL,Publisher,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Conversions,Gross Cost,322,CPC  (Gross Cost/Clicks),CPA (Cost/Conversions),CPM,CVR (Conversion/Clicks),CTR (Clicks/Impressions),Viewability
Transactional>Q3 Casual Dining Restaurant Goers,Transactional,Q3 Casual Dining Restaurant Goers,,,,,,300x250,Sign up Today - 10% Off,"San Francisco,California",San Francisco,California,outlook.live.com,Outlook,Google Ad Manager,Smartphone,"284,783.00",132,"239,363.00","261,467.00",9,"$1,605.54",,$12.16,$178.39,$5.64,6.82%,0.05%,91.55%
Online Behavior>United States>Finance>Credit and Lending>Loans,Online Behavior,United States,Finance,Credit and Lending,Loans,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,ebay.com,Ebay,Google Ad Manager,Smartphone,"1,100,942.00",129,"629,973.00","1,041,225.00",147,"$7,979.35",,$61.86,$54.28,$7.25,113.95%,0.01%,60.50%
US>Reach>Propensity Models>Hobbies and Interest>Sports>Avid Runners,US,Reach,Propensity Models,Hobbies and Interest,Sports,Avid Runners,Avid Runners,300x250,10% Discount - Ends 6/1,"Lansing,Michigan",Lansing,Michigan,cbsnews.com,Cbsnews,BidSwitch,Smartphone,"510,778.00",129,"70,777.00","436,133.00",6,"$3,870.25",,$30.00,$645.04,$7.58,4.65%,0.03%,16.23%
Online Behavior>United States>Finance>Accounting and Auditing>Accounting and Auditing,Online Behavior,United States,Finance,Accounting and Auditing,Accounting and Auditing,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,yahoo.com,Yahoo,Yahoo Exchange,Smartphone,"1,767,940.00",127,"881,525.00","1,550,866.00",78,"$7,511.66",,$59.15,$96.30,$4.25,61.42%,0.01%,56.84%
Online Behavior>United States>Intent>Shopping>CPG» Home Care,Online Behavior,United States,Intent,Shopping,CPG» Home Care,,,320x50,Subscribe Today - 10% Discount,"Tampa-St Petersburg (Sarasota),Florida",Tampa-St Petersburg (Sarasota),Florida,weather.com,Weather,Google Ad Manager,Smartphone,"210,700.00",124,"94,625.00","180,681.00",3,"$6,341.88",,$51.14,"$2,113.96",$30.10,2.42%,0.06%,52.37%
Travel and Tourism>Interest (Affinity)>Products>Hotels and Lodging,Travel and Tourism,Interest (Affinity),Products,Hotels and Lodging,,,,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,mail.yahoo.com,Yahoo,Smart RTB+ (Smartadserver),Smartphone,"679,098.00",121,"467,726.00","634,589.00",9,"$1,477.42",,$12.21,$164.16,$2.18,7.44%,0.02%,73.71%
Online Behavior>United States>Autos and Vehicles>Electric and Plug-In Vehicles,Online Behavior,United States,Autos and Vehicles,Electric and Plug-In Vehicles,,,,320x50,10% Discount - Ends 6/1,"San Francisco,California",San Francisco,California,msn.com,Msn,PubMatic,Smartphone,"1,601,933.00",113,"1,135,085.00","1,487,426.00",29,"$6,785.71",,$60.05,$233.99,$4.24,25.66%,0.01%,76.31%
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 25-64,Online Behavior,United States,Validated Demographic,Gender and Age Combined,Females 25-64,,,300x250,Subscribe Today - 10% Discount,"Ft. Myers-Naples,Florida",Ft. Myers-Naples,Florida,mail.yahoo.com,Yahoo,Google Ad Manager,Smartphone,"766,674.00",103,"344,201.00","720,606.00",17,"$5,816.23",,$56.47,$342.13,$7.59,16.50%,0.01%,47.77%
Online Behavior>United States>Autos and Vehicles>Brands>Bugatti,Online Behavior,United States,Autos and Vehicles,Brands,Bugatti,,,320x50,Sign up Today - 10% Off,"Jacksonville,Florida",Jacksonville,Florida,mobileposse.com,Mobileposse,Google Ad Manager,Smartphone,"98,509.00",103,"30,688.00","109,518.00",19,"$2,059.27",,$19.99,$108.38,$20.90,18.45%,0.10%,28.02%
Online Behavior>United States>Life Event>College Graduation,Online Behavior,United States,Life Event,College Graduation,,,,320x50,10% Discount - Ends 6/1,"Los Angeles,California",Los Angeles,California,msn.com,Msn,Google Ad Manager,Smartphone,"1,515,751.00",98,"1,151,776.00","1,396,230.00",49,"$7,850.64",,$80.11,$160.22,$5.18,50.00%,0.01%,82.49%
Online Behavior>United States>Finance>Financial Planning and Management>Financial Planning and Management,Online Behavior,United States,Finance,Financial Planning and Management,Financial Planning and Management,,,320x50,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,mail.yahoo.com,Yahoo,Xandr - Monetize SSP (AppNexus),Smartphone,"1,323,451.00",97,"737,990.00","1,177,859.00",123,"$8,187.11",,$84.40,$66.56,$6.19,126.80%,0.01%,62.66%
Online Behavior>United States>Life Event>Movers,Online Behavior,United States,Life Event,Movers,,,,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo,Michigan",Grand Rapids-Kalamazoo,Michigan,yahoo.com,Yahoo,Google Ad Manager,Smartphone,"310,255.00",97,"105,054.00","260,998.00",14,"$6,057.86",,$62.45,$432.70,$19.53,14.43%,0.03%,40.25%
Online Behavior>United States>Beauty and Fitness>Weight Loss,Online Behavior,United States,Beauty and Fitness,Weight Loss,,,,300x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,mail.yahoo.com,Yahoo,Magnite DV+,Smartphone,"1,083,050.00",96,"590,156.00","953,556.00",19,"$7,495.75",,$78.08,$394.51,$6.92,19.79%,0.01%,61.89%
Online Behavior>United States>Beauty and Fitness>Hair Care,Online Behavior,United States,Beauty and Fitness,Hair Care,,,,320x50,Sign up Today - 10% Off,"San Francisco,California",San Francisco,California,msn.com,Msn,Google Ad Manager,Smartphone,"999,915.00",95,"618,816.00","829,942.00",23,"$7,879.32",,$82.94,$342.58,$7.88,24.21%,0.01%,74.56%
Online Behavior>United States>Sports>Winter Sports>Ice Skating,Online Behavior,United States,Sports,Winter Sports,Ice Skating,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,mail.yahoo.com,Yahoo,Google Ad Manager,Smartphone,"470,192.00",94,"336,480.00","443,202.00",3,"$4,963.97",,$52.81,"$1,654.66",$10.56,3.19%,0.02%,75.92%
Online Behavior>United States>Intent>Auto Buyers>Car Make>Peugeot,Online Behavior,United States,Intent,Auto Buyers,Car Make,Peugeot,,300x250,Sign up Today - 10% Off,"New York City,New York",New York City,New York,usatoday.com,Usatoday,Google Ad Manager,Smartphone,"186,404.00",94,"30,885.00","151,358.00",3,"$4,702.03",,$50.02,"$1,567.34",$25.22,3.19%,0.05%,20.41%
Media and Entertainment>Audio and Video Streaming>Streaming Audio,Media and Entertainment,Audio and Video Streaming,Streaming Audio,,,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,cnbc.com,Cnbc,Google Ad Manager,Smartphone,"42,451.00",94,"29,142.00","41,093.00",3,"$1,530.55",,$16.28,$510.18,$36.05,3.19%,0.22%,70.92%
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 18-64,Online Behavior,United States,Validated Demographic,Gender and Age Combined,Females 18-64,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,mail.yahoo.com,Yahoo,Yahoo Exchange,Smartphone,"742,281.00",93,"432,673.00","642,404.00",11,"$6,024.42",,$64.78,$547.67,$8.12,11.83%,0.01%,67.35%
Media and Entertainment,Media and Entertainment,,,,,,,320x50,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,weather.com,Weather,Google Ad Manager,Smartphone,"654,902.00",92,"40,733.00","477,114.00",4,"$3,178.61",,$34.55,$794.65,$4.85,4.35%,0.01%,8.54%
Online Behavior>United States>Beauty and Fitness>Fitness,Online Behavior,United States,Beauty and Fitness,Fitness,,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,mail.yahoo.com,Yahoo,BidSwitch,Smartphone,"728,841.00",91,"424,340.00","634,059.00",37,"$8,054.14",,$88.51,$217.68,$11.05,40.66%,0.01%,66.92%
Online Behavior>United States>Finance>Credit and Lending>Credit Cards,Online Behavior,United States,Finance,Credit and Lending,Credit Cards,,,320x50,Sign up Today - 10% Off,"Nashville,Tennessee",Nashville,Tennessee,outlook.live.com,Outlook,Xandr - Monetize SSP (AppNexus),Smartphone,"183,230.00",89,"155,260.00","169,583.00",34,"$7,863.47",,$88.35,$231.28,$42.92,38.20%,0.05%,91.55%
Travel and Tourism>Interest (Affinity)>Destinations>Africa,Travel and Tourism,Interest (Affinity),Destinations,Africa,,,,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,weather.com,Weather,Smart RTB+ (Smartadserver),Smartphone,"253,577.00",89,"66,972.00","191,183.00",44,"$1,493.07",,$16.78,$33.93,$5.89,49.44%,0.04%,35.03%
Online Behavior>United States>Finance>Investing>Stocks and Bonds,Online Behavior,United States,Finance,Investing,Stocks and Bonds,,,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,ebay.com,Ebay,Yahoo Exchange,Smartphone,"680,912.00",87,"388,915.00","648,524.00",39,"$7,814.26",,$89.82,$200.37,$11.48,44.83%,0.01%,59.97%
Online Behavior>United States>Life Event>New Parent,Online Behavior,United States,Life Event,New Parent,,,,300x250,10% Discount - Ends 6/1,"Nashville,Tennessee",Nashville,Tennessee,ebay.com,Ebay,Xandr - Monetize SSP (AppNexus),Smartphone,"569,171.00",86,"343,050.00","541,133.00",78,"$7,129.63",,$82.90,$91.41,$12.53,90.70%,0.02%,63.39%
OnAudience>Interest>News>Local News,OnAudience,Interest,News,Local News,,,,300x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,foxnews.com,Foxnews,BidSwitch,Smartphone,"69,722.00",85,"40,640.00","64,819.00",10,"$1,667.66",,$19.62,$166.77,$23.92,11.76%,0.12%,62.70%
OnAudience>Interest>Shopping>Luxurious Brands,OnAudience,Interest,Shopping,Luxurious Brands,,,,320x50,10% Discount - Ends 6/1,"Ft. Myers-Naples,Florida",Ft. Myers-Naples,Florida,the-sun.com,The-Sun,Google Ad Manager,Smartphone,"97,346.00",79,"44,118.00","91,080.00",19,"$1,657.56",,$20.98,$87.24,$17.03,24.05%,0.08%,48.44%
Online Behavior>United States>The Changing Consumer>Happy at Home,Online Behavior,United States,The Changing Consumer,Happy at Home,,,,300x250,Sign up Now - 10% Off,"Los Angeles,California",Los Angeles,California,msn.com,Msn,Index Exchange,Smartphone,"1,575,592.00",78,"1,155,869.00","1,447,900.00",88,"$7,818.65",,$100.24,$88.85,$4.96,112.82%,0.00%,79.83%
US>B2B>B2B Decision Maker Responsibilities>Purchasing Utilities,US,B2B,B2B Decision Maker Responsibilities,Purchasing Utilities,,,,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo,Michigan",Grand Rapids-Kalamazoo,Michigan,accuweather.com,Accuweather,OpenX,Smartphone,"49,936.00",78,"25,461.00","44,751.00",13,"$2,025.78",,$25.97,$155.83,$40.57,16.67%,0.16%,56.89%
OnAudience>Interest>Technology,OnAudience,Interest,Technology,,,,,300x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,cnn.com,Cnn,Google Ad Manager,Smartphone,"84,306.00",76,"45,376.00","79,935.00",3,"$1,809.59",,$23.81,$603.20,$21.46,3.95%,0.09%,56.77%
Mobile - US>Device Ownership>Smartphones>ZTE,Mobile - US,Device Ownership,Smartphones,ZTE,,,,300x250,10% Discount - Ends 6/1,"Jacksonville,Florida",Jacksonville,Florida,ebay.com,Ebay,BidSwitch,Windows PC,"74,436.00",76,"30,158.00","69,150.00",21,"$1,558.55",,$20.51,$74.22,$20.94,27.63%,0.10%,43.61%
OnAudience>Interest>Arts & Entertainment>Music Lovers,OnAudience,Interest,Arts & Entertainment,Music Lovers,,,,300x250,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,foxnews.com,Foxnews,OpenX,Windows PC,"76,724.00",75,"43,209.00","69,530.00",15,"$1,493.20",,$19.91,$99.55,$19.46,20.00%,0.10%,62.14%
US>AUTO>Decision Maker for Auto Purchase>I was the sole decision-maker,US,AUTO,Decision Maker for Auto Purchase,I was the sole decision-maker,,,,300x250,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,yahoo.com,Yahoo,Google Ad Manager,Smartphone,"1,116,343.00",74,"550,519.00","977,978.00",9,"$2,494.22",,$33.71,$277.14,$2.23,12.16%,0.01%,56.29%
US>Brand Propensities>Health>Beauty and Cosmetics>SkinCareRx Buyer Propensity,US,Brand Propensities,Health,Beauty and Cosmetics,SkinCareRx Buyer Propensity,,,300x250,10% Discount - Ends 6/1,"Nashville,Tennessee",Nashville,Tennessee,ebay.com,Ebay,Yahoo Exchange,Smartphone,"435,848.00",70,"274,912.00","415,601.00",15,"$1,554.44",,$22.21,$103.63,$3.57,21.43%,0.02%,66.15%
Online Behavior>United States>Travel>Specialty Travel>Adventure Travel,Online Behavior,United States,Travel,Specialty Travel,Adventure Travel,,,320x50,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,biblegateway.com,Biblegateway,Google Ad Manager,Smartphone,"108,559.00",69,"79,254.00","100,563.00",7,"$6,850.58",,$99.28,$978.65,$63.10,10.14%,0.06%,78.81%
Online Behavior>United States>Intent>Services>Pets,Online Behavior,United States,Intent,Services,Pets,,,300x250,Sign up Now - 10% Off,"Memphis,Tennessee",Memphis,Tennessee,yahoo.com,Yahoo,Magnite DV+,Smartphone,"818,919.00",66,"395,852.00","699,064.00",22,"$6,012.10",,$91.09,$273.28,$7.34,33.33%,0.01%,56.63%
Online Behavior>United States>Life Event>University Graduation,Online Behavior,United States,Life Event,University Graduation,,,,300x250,Sign up Today - 10% Off,"New York City,New York",New York City,New York,yahoo.com,Yahoo,Google Ad Manager,Smartphone,"1,221,746.00",64,"512,107.00","1,088,748.00",19,"$7,483.89",,$116.94,$393.89,$6.13,29.69%,0.01%,47.04%
US>Brand Propensities>Media and Entertainment>Steam Community Buyer Propensity,US,Brand Propensities,Media and Entertainment,Steam Community Buyer Propensity,,,,320x50,Sign up Today - 10% Off,"San Francisco,California",San Francisco,California,mail.yahoo.com,Mail,Google Ad Manager,Smartphone,"780,475.00",63,"453,974.00","691,696.00",11,"$1,726.25",,$27.40,$156.93,$2.21,17.46%,0.01%,65.63%
Online Behavior>United States>Autos and Vehicles>Brands>Ford,Online Behavior,United States,Autos and Vehicles,Brands,Ford,,,300x50,Sign up Today - 10% Off,"New York City,New York",New York City,New York,insider.com,Insider,Google Ad Manager,Smartphone,"89,744.00",62,"48,786.00","85,900.00",3,"$6,369.81",,$102.74,"$2,123.27",$70.98,4.84%,0.07%,56.79%
Mobile - US>Automotive>Vehicle Ownership>yes,Mobile - US,Automotive,Vehicle Ownership,yes,,,,300x50,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,mail.yahoo.com,Mail,Google Ad Manager,Smartphone,"562,103.00",62,"340,616.00","488,921.00",8,"$1,733.83",,$27.97,$216.73,$3.08,12.90%,0.01%,69.67%
US>B2B>B2B Decision Maker Responsibilities>Marketing or Market Research,US,B2B,B2B Decision Maker Responsibilities,Marketing or Market Research,,,,320x50,Sign up Now - 10% Off,"Jacksonville,Florida",Jacksonville,Florida,fortune.com,Fortune,Google Ad Manager,Smartphone,"54,134.00",61,"37,418.00","51,299.00",2,"$1,502.02",,$24.62,$751.01,$27.75,3.28%,0.11%,72.94%
Online Behavior>United States>Hobbies and Leisure>Clubs and Organizations,Online Behavior,United States,Hobbies and Leisure,Clubs and Organizations,,,,300x50,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,weather.com,Weather,Google Ad Manager,Smartphone,"207,823.00",60,"33,602.00","167,814.00",13,"$6,048.96",,$100.82,$465.30,$29.11,21.67%,0.03%,20.02%
Online Behavior>United States>Sports>Individual Sports>Running and Walking,Online Behavior,United States,Sports,Individual Sports,Running and Walking,,,300x250,10% Discount - Ends 6/1,"Nashville,Tennessee",Nashville,Tennessee,cbsnews.com,Cbsnews,BidSwitch,Smartphone,"7,229.00",59,"5,668.00","6,760.00",3,"$6,812.59",,$115.47,"$2,270.86",$942.40,5.08%,0.82%,83.85%
Online Behavior>United States>Autos and Vehicles>Boats and Watercraft,Online Behavior,United States,Autos and Vehicles,Boats and Watercraft,,,,320x50,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,fandomwire.com,Fandomwire,OpenX,Smartphone,"111,624.00",59,"40,343.00","101,306.00",21,"$6,510.45",,$110.35,$310.02,$58.32,35.59%,0.05%,39.82%
US>Brand Propensities>Travel>Choice Hotels Buyer Propensity,US,Brand Propensities,Travel,Choice Hotels Buyer Propensity,,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,biblegateway.com,Biblegateway,Magnite DV+,Smartphone,"210,096.00",59,"90,928.00","184,823.00",4,"$2,027.43",,$34.36,$506.86,$9.65,6.78%,0.03%,49.20%
Online Behavior>United States>Intent>Travel>Future Travel,Online Behavior,United States,Intent,Travel,Future Travel,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,weather.com,Weather,Google Ad Manager,Smartphone,"100,991.00",57,"56,138.00","88,836.00",9,"$4,652.37",,$81.62,$516.93,$46.07,15.79%,0.06%,63.19%
US>Interest Propensities>Insurance>MassMutual,US,Interest Propensities,Insurance,MassMutual,,,,300x250,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,bbc.com,Bbc,Google Ad Manager,Windows PC,"32,845.00",53,"16,163.00","30,368.00",1,"$1,910.44",,$36.05,"$1,910.44",$58.17,1.89%,0.16%,53.22%
